project_type,terrain,material_cost_crore,vendor_performance_rating,historical_delays_project_count,actual_timeline_delay_days,cost_overrun_lakhs,lat,lon
Overhead Line,Hilly,150,3,5,90,210,29.35,78.45
Substation,Plain,200,5,1,15,50,26.84,80.94
Underground Cable,Urban,250,4,2,45,150,19.07,72.87
Overhead Line,Plain,180,2,8,120,350,25.59,85.13
Substation,Urban,220,5,2,30,80,28.61,77.20
Overhead Line,Hilly,160,3,6,110,250,31.10,77.17
Underground Cable,Urban,280,4,3,60,180,12.97,77.59
Substation,Plain,190,4,3,25,65,22.57,88.36
Overhead Line,Hilly,175,2,7,130,300,34.08,74.79
Underground Cable,Urban,300,5,1,20,75,13.08,80.27
Substation,Urban,210,3,4,75,190,17.38,78.48
Overhead Line,Plain,165,4,2,35,95,23.25,77.41
Overhead Line,Hilly,205,1,10,180,450,22.71,75.85
Substation,Plain,230,5,0,10,30,30.73,76.77
Underground Cable,Urban,265,3,5,85,220,23.02,72.57
Overhead Line,Plain,195,2,9,140,400,15.29,74.12